"","author","title","words","kind","total","appearance"
"354","Eliot, George","Daniel Deronda","Herr Klesmer","person",2,170
"355","Eliot, George","Daniel Deronda","Hill","location",1.43333333333333,30
"356","Eliot, George","Daniel Deronda","Holland","person",5,4
"357","Eliot, George","Daniel Deronda","Howe","person",3.0078125,128
"358","Eliot, George","Daniel Deronda","Hugo Mallingertoo","person",0,1
"359","Eliot, George","Daniel Deronda","India","location",2.4,5
"360","Eliot, George","Daniel Deronda","Israel","location",1.19047619047619,21
"361","Eliot, George","Daniel Deronda","Italy","location",4.2,10
"362","Eliot, George","Daniel Deronda","Jack","person",0.666666666666667,3
"363","Eliot, George","Daniel Deronda","Jacob","person",2.10169491525424,59
"364","Eliot, George","Daniel Deronda","Jacob Alexander","person",8,2
"365","Eliot, George","Daniel Deronda","Jacob Alexander Cohen","person",10,1
"366","Eliot, George","Daniel Deronda","Jacob Cohen","person",0,1
"367","Eliot, George","Daniel Deronda","Jacobs","person",4.66666666666667,6
"368","Eliot, George","Daniel Deronda","Jahrtausende","location",-28,1
"369","Eliot, George","Daniel Deronda","Jamaica","location",-1.5,2
"370","Eliot, George","Daniel Deronda","Jean Jacques","person",6,1
"371","Eliot, George","Daniel Deronda","Jenny Lind","person",2,1
"372","Eliot, George","Daniel Deronda","Jerusalem","location",-1,4
"373","Eliot, George","Daniel Deronda","Joel","person",9.66666666666667,3
"374","Eliot, George","Daniel Deronda","Joseph","person",1.36363636363636,11
"375","Eliot, George","Daniel Deronda","Joseph Kalonymos","person",1.75,8
"376","Eliot, George","Daniel Deronda","Josh","person",5,2
"377","Eliot, George","Daniel Deronda","Joshua","person",5,2
"378","Eliot, George","Daniel Deronda","Jove","person",7,2
"379","Eliot, George","Daniel Deronda","Joy","person",3.32673267326733,101
"380","Eliot, George","Daniel Deronda","Juliet Fenn","person",-2.33333333333333,3
"381","Eliot, George","Daniel Deronda","Julius Klesmer","person",8,1
"382","Eliot, George","Daniel Deronda","Kalonymos","person",3.11764705882353,17
"383","Eliot, George","Daniel Deronda","Kate","location",0.136363636363636,22
"384","Eliot, George","Daniel Deronda","Kate","person",0.136363636363636,22
"385","Eliot, George","Daniel Deronda","Kens","person",4.42307692307692,52
"386","Eliot, George","Daniel Deronda","Kraft","person",-3,1
"387","Eliot, George","Daniel Deronda","Ladies","person",3.9,50
"388","Eliot, George","Daniel Deronda","Lamia","location",0,1
"389","Eliot, George","Daniel Deronda","Lane","person",1.91666666666667,24
"390","Eliot, George","Daniel Deronda","Lapidoth","person",1.38983050847458,59
"391","Eliot, George","Daniel Deronda","Lascia","person",2.5,2
"392","Eliot, George","Daniel Deronda","Latin","location",3.57894736842105,19
"393","Eliot, George","Daniel Deronda","Latin","person",3.57894736842105,19
"394","Eliot, George","Daniel Deronda","Lawe","person",15,1
"395","Eliot, George","Daniel Deronda","Leo","person",3,24
"396","Eliot, George","Daniel Deronda","Leopardi","location",1,2
"397","Eliot, George","Daniel Deronda","Leubronn","location",6.46666666666667,30
"398","Eliot, George","Daniel Deronda","London","location",2.70588235294118,34
"399","Eliot, George","Daniel Deronda","Lord","person",5.33870967741935,62
"400","Eliot, George","Daniel Deronda","Lord Blough","person",-6,1
"401","Eliot, George","Daniel Deronda","Lord Bolingbroke","person",2,1
"402","Eliot, George","Daniel Deronda","Lord Brackenshaw","person",4.2962962962963,27
"403","Eliot, George","Daniel Deronda","Lord Brackenshawyour","person",5,1
"404","Eliot, George","Daniel Deronda","Lord Grampian","person",6,1
"405","Eliot, George","Daniel Deronda","Lord Grandcourt","person",0,2
"406","Eliot, George","Daniel Deronda","Lord Pentreath","person",6,2
"407","Eliot, George","Daniel Deronda","Lord Russell","person",0,1
"408","Eliot, George","Daniel Deronda","Lord Slogan","person",4.5,2
"409","Eliot, George","Daniel Deronda","Lord Stannery","person",5,1
"410","Eliot, George","Daniel Deronda","Lords","location",6.66666666666667,6
"411","Eliot, George","Daniel Deronda","Luke","person",2,1
"412","Eliot, George","Daniel Deronda","Ma la glorianon","location",-4,1
"413","Eliot, George","Daniel Deronda","Mab","person",1.76119402985075,67
"414","Eliot, George","Daniel Deronda","Madame von Langen","person",2,2
"415","Eliot, George","Daniel Deronda","Madonna","person",-6.5,2
"416","Eliot, George","Daniel Deronda","Madonna Pia","person",-16,1
"417","Eliot, George","Daniel Deronda","Mallinger Grandcourt MallingerI","person",8,1
"418","Eliot, George","Daniel Deronda","Mario","person",-1,1
"419","Eliot, George","Daniel Deronda","Mark","person",2.78321678321678,143
"420","Eliot, George","Daniel Deronda","Marlowe","person",-2,1
"421","Eliot, George","Daniel Deronda","Mars","location",13.6666666666667,3
"422","Eliot, George","Daniel Deronda","Marseilles","location",20.5,2
"423","Eliot, George","Daniel Deronda","Martin","person",-0.666666666666667,3
"424","Eliot, George","Daniel Deronda","Marty","person",0.545454545454545,11
"425","Eliot, George","Daniel Deronda","Mediterranean","location",2,5
